date,gross_value,net_value,benchmark_value
2006-02-14,97664.12638127804,97564.12638127804,102335.87
2006-02-15,95759.35534576674,95661.30567400505,104331.76
2006-02-16,96139.3451844232,96040.9064344475,103917.75
2006-02-17,97794.27768687703,97694.1444226884,102128.92
2006-02-21,100965.37493724855,100764.30058693218,105440.58
2006-02-22,101574.0575272495,101371.77097466668,106076.24
2006-02-23,101984.56202545074,101680.08617484174,105647.54
2006-02-24,101313.78472136513,100909.63139640972,104952.67
2006-02-27,97745.89395308649,97355.97338945811,101256.63
2006-02-28,98616.45769338952,98223.0643424085,102158.46
2006-03-01,97888.66182134883,97399.94867454295,102912.39
2006-03-02,100546.44505937785,100044.46282107946,100118.21
2006-03-03,103872.21586041957,103353.62957540638,96806.6
2006-03-06,105188.85001991638,104560.3367554494,98033.68
2006-03-07,104157.7179227314,103535.36576945042,97072.69
2006-03-08,101413.41572811549,100807.46103835554,94515.055
2006-03-09,100239.58619473677,99640.6452467547,93421.07
2006-03-10,104189.47624975527,103566.9343374857,97102.28
2006-03-13,106791.0430936646,106152.95657500865,99526.89
2006-03-14,105061.87413114194,104434.11955954354,97915.336
2006-03-15,102016.2160625105,101406.65958410167,95076.85
2006-03-16,101460.95854380865,100753.31312167279,95594.34
2006-03-17,102512.34747619936,101797.36908012387,94603.74
2006-03-20,106004.66056278284,105265.3248237071,91380.85
2006-03-21,106244.82502025201,105503.81424004391,91173.81
2006-03-22,103643.41202555991,102815.0411390286,88941.42
2006-03-23,103298.89790437755,102473.2805500043,88645.77
2006-03-24,104074.21405898358,103139.92670284305,87980.44
2006-03-27,105473.23842086778,104526.3918464419,86797.76
2006-03-28,111976.56458554405,110866.81043942377,92149.57
2006-03-29,112731.10575733845,111613.87366083705,92770.516
2006-03-30,112677.21353320176,111560.51554059437,92726.164
2006-03-31,112551.48883638582,111436.03685006622,92622.7
2006-04-03,109892.65808777373,108803.55669059773,90434.66
2006-04-04,120743.51444446118,119546.87462730097,99364.22
2006-04-05,127983.54163988741,126715.14886059726,105322.305
2006-04-06,130588.49443983704,129167.56988495828,103178.59
2006-04-07,128492.7449457682,126965.4565291701,101522.734
2006-04-10,127220.37347095438,125708.20869589662,100517.43
2006-04-11,124825.27267015137,123341.57650405046,98625.055
2006-04-12,125274.33316242846,123661.95780415894,98270.25
2006-04-13,122145.7999049125,120450.02917661147,95816.1
2006-04-17,119488.48792569393,117709.1590783256,97900.6
2006-04-18,120516.92468702288,118722.2811660078,97057.98
2006-04-19,116882.20039412534,115141.68233656583,99985.195
2006-04-20,117901.83742170277,116146.13572922992,99112.96
2006-04-21,120170.5831780152,118381.09710311661,97205.77
2006-04-24,120938.2411148477,119018.94258292482,97826.73
2006-04-25,124557.07513513812,122580.3454486161,100753.984
2006-04-26,122345.5628839541,120281.34970950265,102542.875
2006-04-27,120528.69892510764,118495.13986210602,104065.67
2006-04-28,121881.46306399745,119825.08017729843,102897.68
2006-05-01,118344.159901256,116347.45835990732,105884.03
2006-05-02,117551.0320780458,115451.36472343412,105174.414
2006-05-03,117534.50474749874,115435.13259996261,105159.62
2006-05-04,116278.66426004368,114086.28849095001,106283.234
2006-05-05,116278.66426004368,113972.20220245907,106283.234
2006-05-08,114887.6753858693,112608.80448682804,105011.82
2006-05-09,114192.16808281727,111927.09301825236,104376.1
2006-05-10,110229.4239038971,108042.95241764774,100754.0
2006-05-11,109501.57370667269,107329.53959699784,100088.72
2006-05-12,109647.08453402709,107472.16412354723,100221.72
2006-05-15,105102.05874547627,103017.29184336998,96067.39
2006-05-16,105554.93000670947,103461.18011199958,96481.32
2006-05-17,108919.15673907797,106655.21406426137,93406.29
2006-05-18,111211.98396922625,108793.72844538272,95372.555
2006-05-19,109263.91529117659,106888.01966123462,93701.94
2006-05-22,108867.40021401229,106500.12662947783,93361.9
2006-05-23,109194.991052544,106820.59414976122,93642.836
2006-05-24,110901.6224525761,108490.1156029783,95106.4
2006-05-25,109557.00623991004,107174.73747660182,93953.29
2006-05-26,113573.79715039457,110997.01030349977,90508.586
2006-05-30,110883.74645589825,108256.99505003095,88364.84
2006-05-31,106431.29170953274,103801.75856660758,91913.07
2006-06-01,105558.18519043377,102846.42160027722,91159.06
2006-06-02,108399.98732137943,105512.37211788664,88704.91
2006-06-05,108905.90115794812,106004.80915872654,88290.914
2006-06-06,106790.56255063423,103839.8152315293,86575.99
2006-06-07,110802.47032059202,107740.86932852243,89828.48
2006-06-08,108030.57622919873,105045.56589143103,87581.27
2006-06-09,103945.7162179543,101073.57530833838,84269.65
2006-06-12,106371.08916740821,103431.9323852517,86235.914
2006-06-13,105058.10884296865,102155.23123267753,85171.48
2006-06-14,108285.89815232214,105293.83297316986,87788.266
2006-06-15,104966.90964791244,102066.55197734157,85097.53
2006-06-16,104310.42673711685,101428.20845211342,84565.32
2006-06-19,104802.80887585816,101906.98550028152,84964.49
2006-06-20,105514.02591731284,102598.55078854521,85541.08
2006-06-21,108650.57953558523,105648.4377861042,88083.914
2006-06-22,107282.89414363718,104318.54313059652,86975.125
2006-06-23,107574.71028390584,104602.29605185964,87211.7
2006-06-26,104729.84943522005,101836.04201375702,84905.35
2006-06-27,107301.1340491278,104234.44300429244,82820.79
2006-06-28,112951.56895211912,109619.15273755058,87182.1
2006-06-29,109695.39452692094,106459.0454015718,84668.81
2006-06-30,110997.87499734253,107723.09872061288,85674.13
2006-07-03,112817.50081946985,109381.31692550992,84269.64
2006-07-05,110383.01751906681,106911.6015513945,82451.19
2006-07-06,109650.66767874418,106202.28325149139,81904.16
2006-07-07,108858.99087616795,105435.503752463,81312.81
2006-07-10,110145.51290383084,106681.56617673789,82273.79
2006-07-11,115469.71559823207,111731.64739741253,78296.84
2006-07-12,113921.62835250316,110121.94429157618,77247.13
2006-07-13,110476.77334790168,106791.98722902907,74911.27
2006-07-14,106770.21691735093,103102.26540958507,77424.586
2006-07-17,105689.65760100874,102058.82729883784,78208.16
2006-07-18,103292.1728885955,99743.70504591597,79982.24
2006-07-19,115511.52056257475,111443.52926710015,89444.055
2006-07-20,115091.45220247604,110926.81100545272,89769.33
2006-07-21,113764.5761936583,109647.94866214979,90804.266
2006-07-24,112819.93735777063,108737.4920503714,91558.25
2006-07-25,116354.06995145668,112035.0028138243,94426.36
2006-07-26,117210.30225932931,112747.41674573034,93731.484
2006-07-27,113161.56877265956,108852.842353251,96969.195
2006-07-28,109072.61426359008,104919.57838923205,100473.055
2006-07-31,110324.52000160082,106123.81671341602,99319.86
2006-08-01,111933.95796474905,107565.85009158803,100768.76
2006-08-02,109585.6016100516,105201.57008429166,102882.875
2006-08-03,111616.98845872033,107151.69019851048,100975.74
2006-08-04,109835.6486326119,105334.46214967567,99364.23
2006-08-07,105864.51862499944,101526.07344631896,95771.69
2006-08-08,103919.80115268295,99661.05264906652,94012.375
2006-08-09,104704.23152980457,100413.33620086992,94722.02
2006-08-10,105390.5951047519,100971.15850042367,94101.09
2006-08-11,104910.41069631261,100511.1100875101,94529.836
2006-08-14,109028.72482398887,104356.21621325682,98240.66
2006-08-15,111539.09725142941,106759.00472827155,100502.63
2006-08-16,110899.2627741378,106146.59084229123,99926.11
2006-08-17,111424.23305172597,106649.06312087624,100399.13
2006-08-18,109209.23961814523,104528.99490913798,98403.31
2006-08-21,110948.37839578357,106193.6015767577,99970.37
2006-08-22,111456.98988741594,106574.22253597692,99512.086
2006-08-23,110629.0121376732,105782.51727778671,100251.32
2006-08-24,112162.54746877826,107143.08815664015,101641.0
2006-08-25,109274.89628298038,104384.66413233122,99024.23
2006-08-28,108459.14887455352,103605.42276819445,98285.0
2006-08-29,109242.28640749649,104353.5136026527,98994.68
2006-08-30,107790.32780584357,102862.17903372055,100310.43
2006-08-31,108632.32575174597,103562.81884990705,101093.99
2006-09-01,113557.1441553336,108257.81246870323,105677.055
2006-09-05,111253.55762800935,106061.72661135395,103533.31
2006-09-06,106852.87692894186,101760.34921880248,107628.62
2006-09-07,106441.86608654098,101267.1664946556,107214.62
2006-09-08,106471.23901749407,101193.84428627398,107185.03
2006-09-11,106280.27382300787,101012.3445466893,107377.28
2006-09-12,103982.95953792891,98828.89983254716,109698.305
2006-09-13,103940.95379146011,98690.14725936847,109654.0
2006-09-14,103842.8697564714,98597.01815574056,109550.52
2006-09-15,103548.55075903624,98317.56733160841,109240.03
2006-09-18,103380.40511188853,98157.91593268703,109062.65
2006-09-19,101292.35035012919,96077.18594668174,111265.47
2006-09-20,102113.36885894684,96855.93328213875,110363.62
2006-09-21,104370.37422814193,98996.73388346015,107924.26
2006-09-22,108302.13040051164,102627.0618968457,111989.89
2006-09-25,110961.4465985418,105147.02902075405,114739.766
2006-09-26,109245.7550360307,103521.24028021334,112965.66
2006-09-27,110103.58945395054,104334.12388259062,113852.695
2006-09-28,110146.49027596298,104270.44256304174,113808.336
2006-09-29,107113.09489775458,101294.60101764984,110674.09
2006-10-02,105997.0544394266,100239.18502902774,109520.96
2006-10-03,107857.14094583294,101998.22971637055,111442.89
2006-10-04,107070.2290420603,101254.06367948424,110629.82
2006-10-05,106197.36893682499,100428.61823615697,109727.945
2006-10-06,106784.02339549187,100983.40501906721,110334.1
2006-10-09,105610.68026419319,99873.79909781966,109121.75
2006-10-10,104780.83405404864,99089.03099040162,108264.31
2006-10-11,107685.4493950099,101835.86462781325,111265.49
2006-10-12,107342.0435734557,101511.11296495936,110910.664
2006-10-13,107885.72959072841,102025.26539656529,111472.43
2006-10-16,106297.5260203945,100523.33468356194,109831.43
2006-10-17,106640.96599291643,100848.11864226773,110186.29
2006-10-18,113022.49420995945,106882.99565936152,116779.984
2006-10-19,114396.07201462857,108181.95929983398,118199.23
2006-10-20,112235.46848354097,106030.54002349317,120431.664
2006-10-23,111670.61837351778,105390.8870643957,119825.56
2006-10-24,110802.62264575032,104466.31167696847,120756.945
2006-10-25,111494.44213378947,105014.10276259846,121510.92
2006-10-26,113909.04251457055,107183.34635075899,118879.4
2006-10-27,113894.94118712422,107170.07762836154,118894.11
2006-10-30,114829.63558513919,107942.41343703488,119869.83
2006-10-31,112110.48867848315,105386.35481942585,117031.32
2006-11-01,111855.52182698467,105146.68030372311,116765.164
2006-11-02,112832.67879247181,105960.08292146439,115745.12
2006-11-03,114879.22560421922,107776.01525655654,117844.5
2006-11-06,116032.16057951123,108857.66197582484,119027.195
2006-11-07,118828.11053267322,111480.7327984531,121895.33
2006-11-08,120110.80465332032,112684.11539778078,123211.125
2006-11-09,120427.92601947878,112868.94440555661,122885.81
2006-11-10,118645.81220558278,111198.68974259359,124704.305
2006-11-13,117731.56348795135,110341.82629659766,125665.234
2006-11-14,116415.775647358,108998.28558082241,124260.78
2006-11-15,118576.4485127518,111021.29008102282,126567.055
2006-11-16,118908.92502222372,111332.58268141841,126921.94
2006-11-17,118050.19731881481,110417.23666557604,127838.53
2006-11-20,120958.15549641315,113026.75309782522,130987.61
2006-11-21,118623.68508517992,110732.33055788059,133515.66
2006-11-22,116889.8390465087,109113.82736812762,135467.17
2006-11-24,119555.9781591391,111602.60351195668,132377.3
2006-11-27,122586.9380772353,114320.32841852262,135733.31
2006-11-28,122600.3355838745,114218.50214031046,135718.47
2006-11-29,122413.36710702525,113930.09766003658,135511.5
2006-11-30,122867.38786257165,114238.72459386366,135008.89
2006-12-01,123136.51411827245,114488.95079904975,134713.17
2006-12-04,122933.79938221176,114300.47220186613,134934.95
2006-12-05,124873.39751974693,116103.85730926733,132806.0
2006-12-06,128751.77369865436,119709.86502116868,128681.26
