date,gross_value,net_value,benchmark_value
2006-02-14,101204.79185134172,101104.79185134174,101204.79
2006-02-15,101468.31918929203,101266.9540072624,100941.266
2006-02-16,101051.9878909432,100750.18196971253,100527.09
2006-02-17,101657.54471594695,101253.18003243813,99924.68
2006-02-21,102347.01410885192,101838.65373295087,100602.4
2006-02-22,102117.21190529376,101609.99296312773,100376.52
2006-02-23,102002.32650421932,101495.67820093497,100263.59
2006-02-24,103611.03613546399,103096.39732810899,101844.88
2006-02-27,102921.58766037507,102410.37336216682,101167.19
2006-02-28,101887.40977427505,101278.92189212155,102183.75
2006-03-01,101249.2531574597,100543.2975266406,101543.734
2006-03-02,101099.06909097936,100394.16061146345,101393.12
2006-03-03,101174.17650850466,100368.3501854595,101317.79
2006-03-06,100610.22843808851,99808.89381653925,101882.53
2006-03-07,99903.76206866872,99108.0542702523,102597.93
2006-03-08,98987.18443060433,98099.66888332518,101656.64
2006-03-09,98363.95816958495,97383.93077773841,102296.67
2006-03-10,98581.12953352071,97598.93840315305,102070.82
2006-03-13,99017.4639524922,97933.32656290842,102522.6
2006-03-14,98544.69463543173,97367.80024750852,103012.09
2006-03-15,98868.88207530766,97688.11599870514,102673.21
2006-03-16,99702.74530735522,98414.33249687283,103539.16
2006-03-17,98288.80160210554,96920.24620457849,105007.51
2006-03-20,98817.40609751022,97441.49050712751,104442.766
2006-03-21,96715.7079103675,95271.6144927954,102221.43
2006-03-22,97784.41800004753,96229.09571306362,101091.88
2006-03-23,98367.12007982862,96706.30045634348,101694.3
2006-03-24,98367.12007982862,96706.30045634348,101694.3
2006-03-27,98767.72836841703,97003.43861824503,101280.14
2006-03-28,99208.38181673191,97339.21722728193,101732.0
2006-03-29,98437.40134797276,96485.42342474377,102522.6
2006-03-30,98365.11648909462,96318.08652494369,102447.32
2006-03-31,99630.39787652036,97557.03673923011,103765.12
2006-04-03,99919.55706890413,97840.17837628181,104066.27
2006-04-04,100281.07026800442,98194.16829500173,104442.79
2006-04-05,99630.39788144211,97557.03674404944,103765.11
2006-04-06,98509.73559116853,96459.6960272133,102597.94
2006-04-07,98365.13623505546,96221.64616395344,102748.54
2006-04-10,98941.86767298618,96785.80995690127,102146.1
2006-04-11,98686.54714927709,96536.05316266448,102409.695
2006-04-12,98214.88789860491,95978.1358593434,101920.25
2006-04-13,97380.38108431673,95162.63415577289,101054.25
2006-04-17,98759.08501542694,96509.93939677176,102484.97
2006-04-18,98069.72314169655,95836.27709374645,101769.59
2006-04-19,98069.72314169655,95836.27709374645,101769.59
2006-04-20,98505.13826345187,96261.77604411116,102221.43
2006-04-21,98650.28324965415,96307.35371321726,102070.805
2006-04-24,98650.28324965415,96211.04635950403,102070.805
2006-04-25,98686.674103182,96150.32636274413,102033.15
2006-04-26,98140.42833449622,95618.11966502432,102597.914
2006-04-27,109305.0481746437,106495.79743764606,90926.2
2006-04-28,109938.73490492668,107006.70197801638,91453.336
2006-05-01,108671.39851482112,105773.16506748895,90399.09
2006-05-02,104869.48851819753,102072.65086466714,87236.445
2006-05-03,106091.53682119591,103262.1075077218,88253.016
2006-05-04,104462.10612144042,101572.87112614815,89608.47
2006-05-05,104154.83617012309,101172.52684091886,89344.89
2006-05-08,103672.0142266761,100703.52974170605,88930.72
2006-05-09,103013.65228895225,99963.31542912744,89495.47
2006-05-10,100630.10516433787,97550.38419377952,87424.71
2006-05-11,100413.40505261562,97340.31605245323,87236.44
2006-05-12,100717.95751185202,97635.54787554586,87501.03
2006-05-15,100108.87628024582,97045.10719130558,86971.88
2006-05-16,101327.09203491012,98128.99511309547,85913.52
2006-05-17,101772.8991994412,98462.60266732087,86291.516
2006-05-18,100569.2896543292,97298.14209540852,85271.0
2006-05-19,101995.76333187558,98678.2178526334,86480.484
2006-05-22,101594.56418084382,98290.06822823196,86140.32
2006-05-23,98429.50025980751,95129.66207875738,88823.93
2006-05-24,99434.76338159876,96006.09420276737,89731.086
2006-05-25,99351.04085534018,95925.25856270023,89655.54
2006-05-26,96963.55799313186,93620.09991615106,87501.05
2006-05-30,94869.2921016357,91598.04765166272,85611.16
2006-05-31,95581.3211809818,92285.5248331035,86253.7
2006-06-01,95330.02248812014,92042.89131983892,86026.92
