date,gross_value,net_value,benchmark_value
2012-08-08,98899.92838725448,98799.92838725448,101100.08
2012-08-09,97117.6599078756,97019.4620006662,102921.984
2012-08-10,93127.85534528465,93033.69162154502,107150.24
2012-08-13,98356.41655181455,98256.9661091745,101134.42
2012-08-14,98423.26340203513,98323.74536900212,101065.68
2012-08-15,95410.30926242647,95313.83769685683,104159.53
2012-08-16,96323.45609699088,96226.06122758325,103162.66
2012-08-17,97928.35031160623,97829.33269662055,101443.81
2012-08-20,99255.70576657982,99155.34603186096,100068.805
2012-08-21,102119.833766867,101917.42270019698,102956.4
2012-08-22,104779.37784874268,104571.69531682826,105637.74
2012-08-23,100585.48064194816,100386.11080675309,101409.49
2012-08-24,96562.04277069491,96370.64776586491,97353.09
2012-08-27,95300.44411769003,95015.17907168198,98625.03
2012-08-28,94370.34401928145,93992.84788455743,97662.484
2012-08-29,94370.34401928145,93898.85503667287,97662.484
2012-08-30,94735.71374981613,94168.50046791385,98040.6
2012-08-31,93473.47663337008,92913.82077230752,96734.336
2012-09-04,92809.1431930813,92253.46491065333,96046.82
2012-09-05,94835.36437841927,94267.55445605422,98143.73
2012-09-06,92177.94745000397,91531.78078567043,100893.84
2012-09-07,85959.4712893474,85265.36431170092,94087.375
2012-09-10,84609.0243032232,83840.55657319375,95565.51
2012-09-11,86069.89740149153,85204.32062677038,97215.555
2012-09-12,89722.08798600858,88819.78232648272,101340.69
2012-09-13,86952.49448456532,85989.22193765818,104468.93
2012-09-14,93104.10278593554,91986.69259384928,111859.77
2012-09-17,96537.56406718235,95286.959711349,107734.66
2012-09-18,97430.85041378794,96168.67390149027,106737.76
2012-09-19,97901.5304358854,96633.25645788589,106222.12
2012-09-20,95113.38303155646,93784.59509762474,103197.0
2012-09-21,93085.637428463,91691.39365617212,105397.08
2012-09-24,102193.81828784873,100663.15148843019,95084.26
2012-09-25,102637.1763270273,101099.86887710568,94671.74
2012-09-26,106177.6579388106,104486.22101657887,97937.46
2012-09-27,103233.43442742524,101484.41350872334,100653.195
2012-09-28,103656.52311509004,101900.33406360932,100240.68
2012-10-01,101381.46333113682,99663.81922563704,102440.77
2012-10-02,99680.39754918253,97891.90974124608,100721.93
2012-10-03,100020.6216603323,98226.02947591143,101065.72
2012-10-04,98285.56816741641,96522.10669770467,99312.53
2012-10-05,97060.8233607419,95222.8144273759,100550.07
2012-10-08,99980.96360742372,98087.65693729596,97524.95
2012-10-09,99875.23956773964,97983.93495902742,97628.08
2012-10-10,100156.55793684594,98259.92609457405,97353.086
2012-10-11,97751.6851063852,95802.33362495372,95015.53
2012-10-12,96655.32317218068,94727.83519886472,93949.85
2012-10-15,99237.05759697953,97258.08500915112,96459.32
2012-10-16,101924.8380982242,99892.2661387209,99071.875
2012-10-17,99166.29270958231,97188.7313060003,96390.54
2012-10-18,100227.27215721796,98131.36410719258,95359.26
2012-10-19,99829.7957722473,97742.19957125286,95737.43
2012-10-22,101765.45460685917,99539.63857135196,97593.74
2012-10-23,98288.41544937002,96138.64928307162,94259.234
2012-10-24,98646.88955476083,96489.28283574071,94603.02
2012-10-25,98145.018132354,95998.38835500895,94121.73
2012-10-26,100833.42968189073,98627.99891397262,96699.93
2012-10-31,104848.15111928494,102554.91028469965,100550.08
2012-11-01,106031.05730913894,103609.38901669328,99415.664
2012-11-02,96571.85882484636,94366.23139460369,108284.7
2012-11-05,97644.85656985249,95414.72269137767,107081.555
2012-11-06,96422.33583930883,94220.12339975151,108422.22
2012-11-07,97125.51541199585,94907.24288855096,107631.53
